step,loss_pde,loss_bc,loss_ic,loss_ic2,loss_u
0,6181.001,0.068213426,0.26470992,0.29789934,0.1464346
1000,0.30012682,0.04297369,0.08862373,0.0018930399,0.08890332
2000,0.08381315,0.042535268,0.08623627,0.0010569732,0.08554599
3000,0.035932835,0.040650293,0.084093116,0.0008250387,0.08266765
4000,0.018629855,0.038097158,0.080892935,0.0005897784,0.079323314
5000,0.01068215,0.035469223,0.07773164,0.00037846423,0.076867715
6000,0.02644381,0.032477718,0.07217428,0.00025010077,0.07341805
7000,0.004272726,0.028195066,0.066594735,0.00022418286,0.07001466
8000,0.012000269,0.025074352,0.064793505,0.0002459636,0.06869367
9000,0.00262538,0.022779427,0.06382462,0.00029672644,0.06732259
10000,0.0015683188,0.020414378,0.062981494,0.00038806483,0.06534279
